date,lat,lon,V2M
2020-05,-83.550481668,30.0529967590001,-7.252653121948242
2020-11,-83.550481668,30.0529967590001,-6.65082311630249
2020-10,-83.550481668,30.0529967590001,-6.873363971710205
2020-04,-83.550481668,30.0529967590001,-6.561380386352539
2020-12,-83.550481668,30.0529967590001,-5.614922046661377
2020-06,-83.550481668,30.0529967590001,-5.983749866485596
2020-07,-83.550481668,30.0529967590001,-7.017047882080078
2020-03,-83.550481668,30.0529967590001,-6.046835422515869
2020-02,-83.550481668,30.0529967590001,-5.907111644744873
2020-01,-83.550481668,30.0529967590001,-5.056339740753174
2020-08,-83.550481668,30.0529967590001,-7.021709442138672
2020-05,-83.545343966,30.0616113,-7.252653121948242
2020-11,-83.545343966,30.0616113,-6.65082311630249
2020-10,-83.545343966,30.0616113,-6.873363971710205
2020-04,-83.545343966,30.0616113,-6.561380386352539
2020-12,-83.545343966,30.0616113,-5.614922046661377
2020-06,-83.545343966,30.0616113,-5.983749866485596
2020-07,-83.545343966,30.0616113,-7.017047882080078
2020-03,-83.545343966,30.0616113,-6.046835422515869
2020-02,-83.545343966,30.0616113,-5.907111644744873
2020-01,-83.545343966,30.0616113,-5.056339740753174
2020-08,-83.545343966,30.0616113,-7.021709442138672
2020-05,-83.169863482,30.1254002360001,-7.252653121948242
2020-11,-83.169863482,30.1254002360001,-6.65082311630249
2020-10,-83.169863482,30.1254002360001,-6.873363971710205
2020-04,-83.169863482,30.1254002360001,-6.561380386352539
2020-12,-83.169863482,30.1254002360001,-5.614922046661377
2020-06,-83.169863482,30.1254002360001,-5.983749866485596
2020-07,-83.169863482,30.1254002360001,-7.017047882080078
2020-03,-83.169863482,30.1254002360001,-6.046835422515869
2020-02,-83.169863482,30.1254002360001,-5.907111644744873
2020-01,-83.169863482,30.1254002360001,-5.056339740753174
2020-08,-83.169863482,30.1254002360001,-7.021709442138672
2020-05,-83.16996646,30.1248128030001,-7.252653121948242
2020-11,-83.16996646,30.1248128030001,-6.65082311630249
2020-10,-83.16996646,30.1248128030001,-6.873363971710205
2020-04,-83.16996646,30.1248128030001,-6.561380386352539
2020-12,-83.16996646,30.1248128030001,-5.614922046661377
2020-06,-83.16996646,30.1248128030001,-5.983749866485596
2020-07,-83.16996646,30.1248128030001,-7.017047882080078
2020-03,-83.16996646,30.1248128030001,-6.046835422515869
2020-02,-83.16996646,30.1248128030001,-5.907111644744873
2020-01,-83.16996646,30.1248128030001,-5.056339740753174
2020-08,-83.16996646,30.1248128030001,-7.021709442138672
2020-05,-82.9349863909999,29.9991755300001,-7.252653121948242
2020-11,-82.9349863909999,29.9991755300001,-6.65082311630249
2020-10,-82.9349863909999,29.9991755300001,-6.873363971710205
